*CREATOR,,,,
msr_cutter.exe,[V6.00.00],,,
msr2csv.exe,[V6.00.00],,,
,,,,
*STARTTIME,,,,
8/16/2016,13:29:46,,,
,,,,
*MODUL,,,,
NAME,MSR453630,MSR453630,MSR453630,
*NAME,,,,
NAME,165_630,165_630,165_630,
,,,,
ID,[C26118 V1.69],[C26118 V1.69],[C26118 V1.69],
,,,,
*CHANNEL,,,,
TIME,ACC x,ACC y,ACC z,200Hz
,,,,
*UNIT,,,,
,G,G,G,
,,,,
*LIMITS,,,,
ALARM,,,,
RECRD,,,,
LIMIT1,,,,
LIMIT2,,,,
,,,,
*DATA,,,,
06:27.980,0.415,-0.143,0.762,
06:27.985,0.366,-0.19,0.667,
06:27.990,0.366,-0.19,0.762,
06:27.995,0.268,-0.286,0.667,
06:28.000,0.268,-0.429,0.476,
06:28.005,0.22,-0.333,0.524,
06:28.010,0.317,-0.19,0.571,
06:28.015,0.171,-0.238,0.524,
06:28.021,0.366,-0.19,0.619,
06:28.026,0.415,-0.19,0.762,
06:28.031,0.463,-0.095,1,
06:28.036,0.366,0.048,0.952,
06:28.041,0.366,0.143,0.857,
06:28.046,0.22,0.143,0.667,
06:28.051,0.268,0.19,0.762,
06:28.056,0.366,0.143,0.905,
06:28.061,0.268,0.143,0.762,
06:28.066,0.171,0.048,0.905,
06:28.071,0.366,0,0.857,
06:28.077,0.366,-0.238,0.81,
06:28.082,0.415,-0.048,0.81,
06:28.087,0.366,-0.095,0.714,
06:28.092,0.366,-0.048,0.857,
06:28.097,0.268,-0.238,0.762,
06:28.102,0.268,-0.286,0.762,
06:28.107,0.268,-0.238,0.571,
06:28.112,0.268,-0.143,0.619,
06:28.117,0.122,-0.238,0.619,
06:28.122,0.317,-0.19,0.714,
06:28.128,0.415,-0.333,0.714,
06:28.133,0.415,-0.143,0.762,
06:28.138,0.366,-0.143,0.857,
06:28.143,0.317,0,0.619,
06:28.148,0.268,0,0.81,
06:28.153,0.268,0.143,0.81,
06:28.158,0.415,0.19,0.81,
06:28.163,0.073,0.238,0.857,
06:28.168,0.171,0.095,0.857,
06:28.173,0.317,0.143,1,
06:28.178,0.366,-0.095,0.762,
06:28.184,0.317,-0.048,0.762,
06:28.189,0.317,-0.143,0.762,
06:28.194,0.415,-0.19,0.667,
06:28.199,0.366,-0.19,0.714,
06:28.204,0.366,-0.333,0.476,
06:28.209,0.317,-0.238,0.524,
06:28.214,0.22,-0.19,0.619,
06:28.219,0.268,-0.238,0.619,
06:28.224,0.366,-0.238,0.571,
06:28.229,0.415,-0.286,0.714,
06:28.234,0.317,-0.238,0.714,
06:28.240,0.317,-0.095,0.857,
06:28.245,0.22,-0.095,0.762,
06:28.250,0.415,0.143,0.81,
06:28.255,0.122,0.048,0.714,
06:28.260,0.317,0.333,0.714,
06:28.265,0.122,0.19,0.714,
06:28.270,0.268,0.048,0.905,
06:28.275,0.317,0.19,0.81,
06:28.280,0.317,0.048,0.762,
06:28.285,0.366,0,0.81,
06:28.290,0.415,-0.095,0.762,
06:28.296,0.463,-0.143,0.667,
06:28.301,0.415,-0.143,0.667,
06:28.306,0.22,-0.381,0.476,
06:28.311,0.171,-0.286,0.333,
06:28.316,0.122,-0.19,0.524,
06:28.321,0.171,-0.143,0.619,
06:28.326,0.268,-0.238,0.571,
06:28.331,0.366,-0.19,0.667,
06:28.336,0.415,-0.238,0.619,
06:28.341,0.463,-0.238,0.81,
06:28.346,0.415,-0.095,0.762,
06:28.352,0.415,0.048,0.762,
06:28.357,0.22,0.095,0.714,
06:28.362,0.22,0.286,0.714,
06:28.367,0.317,0.238,0.905,
06:28.372,0.268,0.19,0.857,
06:28.377,0.268,0.238,0.857,
06:28.382,0.317,0.19,0.857,
06:28.387,0.22,-0.095,0.762,
06:28.392,0.366,0,0.905,
06:28.397,0.415,-0.095,0.714,
06:28.402,0.512,-0.19,0.667,
06:28.408,0.317,-0.333,0.571,
06:28.413,0.22,-0.333,0.524,
06:28.418,0.268,-0.19,0.571,
06:28.423,0.317,-0.238,0.524,
06:28.428,0.171,-0.286,0.476,
06:28.433,0.366,-0.19,0.571,
06:28.438,0.415,-0.286,0.619,
06:28.443,0.366,-0.238,0.905,
06:28.448,0.317,-0.143,0.952,
06:28.453,0.317,-0.048,0.857,
06:28.458,0.268,0.048,0.762,
06:28.464,0.317,0.048,0.857,
06:28.469,0.415,0.19,0.762,
06:28.474,0.366,0.286,0.905,
06:28.479,0.22,0.238,0.905,
06:28.484,0.22,0.238,0.905,
06:28.489,0.268,0.095,0.81,
06:28.494,0.366,0.048,0.714,
06:28.499,0.366,-0.095,0.714,
06:28.504,0.415,-0.143,0.81,
06:28.509,0.415,-0.333,0.667,
06:28.514,0.317,-0.476,0.524,
06:28.520,0.317,-0.286,0.619,
06:28.525,0.171,-0.238,0.619,
06:28.530,0.171,-0.286,0.571,
06:28.535,0.22,-0.333,0.619,
06:28.540,0.463,-0.286,0.81,
06:28.545,0.415,-0.238,0.762,
06:28.550,0.415,-0.095,1,
06:28.555,0.317,0,0.952,
06:28.560,0.415,0.19,0.81,
06:28.565,0.22,0.095,0.857,
06:28.570,0.268,0.476,0.762,
06:28.576,0.22,0.333,0.905,
06:28.581,0.22,0.095,0.857,
06:28.586,0.415,0.19,0.905,
06:28.591,0.317,0.048,0.81,
06:28.596,0.317,-0.048,0.81,
06:28.601,0.22,-0.143,0.857,
06:28.606,0.415,-0.238,0.857,
06:28.611,0.415,-0.381,0.667,
06:28.616,0.366,-0.524,0.381,
06:28.621,0.317,-0.333,0.524,
06:28.627,0.22,-0.238,0.571,
06:28.632,0.22,-0.238,0.667,
06:28.637,0.22,-0.286,0.571,
06:28.642,0.415,-0.19,0.667,
06:28.647,0.317,-0.19,0.81,
06:28.652,0.366,0,0.857,
06:28.657,0.317,0,0.952,
06:28.662,0.317,0.143,0.714,
06:28.667,0.22,0.095,0.81,
06:28.672,0.024,0.238,0.857,
06:28.677,0.366,0.333,0.857,
06:28.683,0.268,0.143,0.857,
06:28.688,0.171,0,0.762,
06:28.693,0.268,0,0.952,
06:28.698,0.171,-0.095,0.762,
06:28.703,0.415,0,1,
06:28.708,0.415,-0.048,0.762,
06:28.713,0.463,-0.143,0.571,
06:28.718,0.22,-0.286,0.476,
06:28.723,0.268,-0.333,0.381,
06:28.728,0.22,-0.238,0.667,
06:28.733,0.171,-0.238,0.429,
06:28.739,0.268,-0.238,0.619,
06:28.744,0.268,-0.19,0.381,
06:28.749,0.415,-0.286,0.667,
06:28.754,0.415,-0.286,0.714,
06:28.759,0.415,-0.19,0.619,
06:28.764,0.268,-0.19,0.762,
06:28.769,0.366,0,0.667,
06:28.774,0.171,0.048,0.762,
06:28.779,0.415,0.333,0.81,
06:28.784,0.22,0.238,0.714,
06:28.789,0.171,0.095,0.81,
06:28.795,0.122,0.143,0.667,
06:28.800,0.415,0.19,0.81,
06:28.805,0.268,0.143,0.81,
06:28.810,0.317,0.095,0.905,
06:28.815,0.317,0.048,0.667,
06:28.820,0.415,-0.19,0.667,
06:28.825,0.366,-0.333,0.524,
06:28.830,0.268,-0.381,0.429,
06:28.835,0.122,-0.095,0.476,
06:28.840,0.171,-0.143,0.524,
06:28.845,0.171,-0.238,0.524,
06:28.851,0.415,-0.238,0.476,
06:28.856,0.366,-0.286,0.619,
06:28.861,0.317,-0.143,0.667,
